"team","combos","adj_line_yards","power_rank","stuffed_rank"
"LV",7,4.93,23,6
"GB",8,4.85,18,2
"KC",5,4.82,31,9
"SF",6,4.7,26,22
"ATL",4,4.68,17,5
"PHI",5,4.66,7,7
"DET",7,4.66,20,18
"MIA",7,4.61,30,14
"CAR",3,4.56,14,11
"PIT",2,4.54,1,4
"CHI",10,4.52,3,3
"NO",9,4.5,9,8
"BUF",7,4.42,4,16
"CLE",4,4.41,13,28
"LA",13,4.39,11,20
"CIN",4,4.38,20,13
"DAL",6,4.37,5,17
"TEN",6,4.37,7,15
"NE",6,4.36,27,25
"DEN",9,4.35,14,19
"BAL",6,4.35,19,23
"IND",6,4.32,29,12
"WAS",10,4.29,10,1
"NYG",6,4.24,2,21
"MIN",6,4.24,32,31
"LAC",6,4.23,12,27
"ARI",12,4.22,6,10
"TB",8,4.07,25,24
"JAX",3,4.06,28,32
"SEA",5,4.04,22,29
"HOU",5,3.9,16,26
"NYJ",9,3.81,24,30
